date,season,team,home/visitor,opponent,score,opponentScore,moneyLine,opponentMoneyLine,total,spread,secondHalfTotal
2019-10-22,2020,LAC,vs,LAL,112,102,150.0,-180.0,224.0,3.5,110.5
2019-10-22,2020,TOR,vs,NOP,130,122,-280.0,230.0,229.5,-6.5,113.0
2019-10-23,2020,PHI,vs,BOS,107,93,-240.0,190.0,214.5,-5.5,110.5
2019-10-23,2020,CHA,vs,CHI,126,125,145.0,-170.0,216.5,3.5,112.0
2019-10-23,2020,ORL,vs,CLE,94,85,-550.0,400.0,211.5,-9.5,108.0
2019-10-23,2020,POR,vs,DEN,100,108,100.0,-120.0,217.5,1.5,106.0
2019-10-23,2020,IND,vs,DET,110,119,-300.0,240.0,211.0,-7.0,104.0
2019-10-23,2020,MIA,vs,MEM,120,101,-300.0,240.0,213.0,-6.5,104.5
2019-10-23,2020,BKN,vs,MIN,126,127,-165.0,142.0,229.0,-3.5,112.5
2019-10-23,2020,SAS,vs,NYK,120,111,-750.0,525.0,214.5,-11.0,104.5
2019-10-23,2020,UTA,vs,OKC,100,95,-500.0,375.0,221.5,-9.0,107.0
2019-10-23,2020,PHX,vs,SAC,124,95,-105.0,-115.0,232.5,1.0,114.0
2019-10-23,2020,DAL,vs,WAS,108,100,-450.0,350.0,220.0,-9.0,105.5
2019-10-24,2020,DET,vs,ATL,100,117,-125.0,105.0,221.5,-1.5,110.0
2019-10-24,2020,GSW,vs,LAC,122,141,-110.0,-110.0,229.5,0.0,110.5
2019-10-24,2020,HOU,vs,MIL,111,117,-120.0,100.0,231.0,-1.5,117.5
2019-10-25,2020,MEM,vs,CHI,102,110,105.0,-125.0,224.0,2.0,116.0
2019-10-25,2020,NOP,vs,DAL,116,123,-130.0,110.0,227.0,-2.0,111.5
2019-10-25,2020,CHA,vs,MIN,99,121,180.0,-220.0,225.0,5.0,109.5
2019-10-25,2020,BKN,vs,NYK,113,109,-360.0,280.0,228.0,-8.0,110.0
2019-10-25,2020,DEN,vs,PHX,108,107,-1000.0,650.0,219.5,-12.0,111.5
2019-10-25,2020,SAC,vs,POR,112,122,100.0,-120.0,227.5,1.0,117.5
2019-10-25,2020,BOS,vs,TOR,112,106,-140.0,120.0,213.0,-2.5,104.5
2019-10-25,2020,LAL,vs,UTA,95,86,-160.0,140.0,215.5,-3.5,109.5
2019-10-25,2020,OKC,vs,WAS,85,97,-400.0,300.0,218.0,-8.5,106.5
2019-10-26,2020,NYK,vs,BOS,95,118,190.0,-240.0,218.5,5.5,112.0
2019-10-26,2020,CLE,vs,IND,110,99,160.0,-190.0,213.0,4.5,103.5
2019-10-26,2020,PHX,vs,LAC,130,122,400.0,-550.0,225.5,10.0,110.0
2019-10-26,2020,MIL,vs,MIA,126,131,-800.0,550.0,223.0,-11.5,107.5
2019-10-26,2020,HOU,vs,NOP,126,123,-1000.0,650.0,238.5,-12.0,116.5
2019-10-26,2020,ATL,vs,ORL,103,99,115.0,-135.0,216.5,2.5,105.5
2019-10-26,2020,DET,vs,PHI,111,117,160.0,-190.0,213.0,4.5,103.0
2019-10-26,2020,UTA,vs,SAC,113,81,-450.0,350.0,221.5,-9.0,107.5
2019-10-26,2020,CHI,vs,TOR,84,108,135.0,-155.0,219.5,3.0,105.0
