game_id,date,season,team_id_home,team_abbreviation_home,team_id_away,team_abbreviation_away,wl_home,home_avg_pts,home_avg_reb,home_avg_ast,home_avg_stl,home_avg_blk,home_avg_fg_pct,home_avg_fg3_pct,home_avg_ft_pct,away_avg_pts,away_avg_reb,away_avg_ast,away_avg_stl,away_avg_blk,away_avg_fg_pct,away_avg_fg3_pct,away_avg_ft_pct
0021500001,2015-10-27 00:00:00,22015,1610612737,ATL,1610612765,DET,L,,,,,,,,,,,,,,,,
0021500002,2015-10-27 00:00:00,22015,1610612741,CHI,1610612739,CLE,W,,,,,,,,,,,,,,,,
0021500003,2015-10-27 00:00:00,22015,1610612744,GSW,1610612740,NOP,W,,,,,,,,,,,,,,,,
0021500005,2015-10-28 00:00:00,22015,1610612738,BOS,1610612755,PHI,W,,,,,,,,,,,,,,,,
0021500010,2015-10-28 00:00:00,22015,1610612745,HOU,1610612743,DEN,L,,,,,,,,,,,,,,,,
0021500017,2015-10-28 00:00:00,22015,1610612747,LAL,1610612750,MIN,L,,,,,,,,,,,,,,,,
0021500008,2015-10-28 00:00:00,22015,1610612748,MIA,1610612766,CHA,W,,,,,,,,,,,,,,,,
0021500012,2015-10-28 00:00:00,22015,1610612749,MIL,1610612752,NYK,L,,,,,,,,,,,,,,,,
0021500006,2015-10-28 00:00:00,22015,1610612751,BKN,1610612741,CHI,L,,,,,,,,,97.0,47.0,13.0,6.0,10.0,0.425,0.368,0.696
0021500004,2015-10-28 00:00:00,22015,1610612753,ORL,1610612764,WAS,L,,,,,,,,,,,,,,,,
0021500014,2015-10-28 00:00:00,22015,1610612756,PHX,1610612742,DAL,L,,,,,,,,,,,,,,,,
0021500015,2015-10-28 00:00:00,22015,1610612757,POR,1610612740,NOP,W,,,,,,,,,95.0,33.0,21.0,9.0,3.0,0.422,0.333,0.704
0021500016,2015-10-28 00:00:00,22015,1610612758,SAC,1610612746,LAC,L,,,,,,,,,,,,,,,,
0021500013,2015-10-28 00:00:00,22015,1610612760,OKC,1610612759,SAS,W,,,,,,,,,,,,,,,,
0021500009,2015-10-28 00:00:00,22015,1610612761,TOR,1610612754,IND,W,,,,,,,,,,,,,,,,
0021500011,2015-10-28 00:00:00,22015,1610612763,MEM,1610612739,CLE,L,,,,,,,,,95.0,50.0,26.0,5.0,7.0,0.404,0.31,0.588
0021500007,2015-10-28 00:00:00,22015,1610612765,DET,1610612762,UTA,W,106.0,59.0,23.0,5.0,3.0,0.385,0.414,0.769,,,,,,,,
0021500020,2015-10-29 00:00:00,22015,1610612746,LAC,1610612742,DAL,W,111.0,42.0,20.0,8.0,9.0,0.525,0.316,0.677,111.0,48.0,24.0,7.0,3.0,0.471,0.476,0.677
0021500019,2015-10-29 00:00:00,22015,1610612752,NYK,1610612737,ATL,L,122.0,49.0,24.0,11.0,7.0,0.452,0.391,0.829,94.0,40.0,22.0,9.0,4.0,0.451,0.296,0.8
0021500018,2015-10-29 00:00:00,22015,1610612754,IND,1610612763,MEM,L,99.0,40.0,23.0,14.0,3.0,0.372,0.391,0.839,76.0,40.0,15.0,8.0,3.0,0.354,0.125,0.727
0021500026,2015-10-30 00:00:00,22015,1610612737,ATL,1610612766,CHA,W,103.0,39.5,24.0,10.0,4.0,0.47850000000000004,0.3565,0.746,94.0,43.0,16.0,4.0,1.0,0.393,0.25,0.759
0021500024,2015-10-30 00:00:00,22015,1610612738,BOS,1610612761,TOR,L,112.0,41.0,31.0,10.0,7.0,0.459,0.333,0.963,106.0,50.0,19.0,8.0,2.0,0.45,0.389,0.692
0021500021,2015-10-30 00:00:00,22015,1610612739,CLE,1610612748,MIA,W,100.5,52.0,27.5,6.0,4.5,0.446,0.379,0.6174999999999999,104.0,41.0,23.0,5.0,7.0,0.493,0.6,0.952
0021500029,2015-10-30 00:00:00,22015,1610612743,DEN,1610612750,MIN,L,105.0,49.0,26.0,9.0,10.0,0.506,0.481,0.667,112.0,39.0,24.0,3.0,4.0,0.458,0.25,0.838
0021500030,2015-10-30 00:00:00,22015,1610612745,HOU,1610612744,GSW,L,85.0,44.0,17.0,13.0,8.0,0.345,0.229,0.654,111.0,56.0,29.0,8.0,7.0,0.427,0.3,0.909
0021500027,2015-10-30 00:00:00,22015,1610612749,MIL,1610612764,WAS,L,97.0,47.0,17.0,7.0,4.0,0.349,0.5,0.903,88.0,49.0,17.0,8.0,9.0,0.393,0.25,0.6
0021500022,2015-10-30 00:00:00,22015,1610612753,ORL,1610612760,OKC,L,87.0,56.0,20.0,9.0,6.0,0.37,0.192,0.667,112.0,45.0,21.0,7.0,4.0,0.488,0.368,0.955
0021500023,2015-10-30 00:00:00,22015,1610612755,PHI,1610612762,UTA,L,95.0,46.0,12.0,11.0,6.0,0.41,0.318,0.87,87.0,38.0,15.0,4.0,5.0,0.467,0.167,0.714
0021500032,2015-10-30 00:00:00,22015,1610612756,PHX,1610612757,POR,W,95.0,53.0,15.0,3.0,3.0,0.391,0.25,0.636,112.0,51.0,22.0,7.0,4.0,0.5,0.375,0.857
0021500031,2015-10-30 00:00:00,22015,1610612758,SAC,1610612747,LAL,W,104.0,49.0,24.0,8.0,3.0,0.436,0.458,0.611,111.0,48.0,18.0,2.0,4.0,0.389,0.265,0.914
0021500028,2015-10-30 00:00:00,22015,1610612759,SAS,1610612751,BKN,W,106.0,36.0,22.0,11.0,9.0,0.484,0.333,0.846,100.0,45.0,19.0,11.0,5.0,0.419,0.0,0.786
0021500025,2015-10-30 00:00:00,22015,1610612765,DET,1610612741,CHI,W,99.0,51.0,19.5,3.5,3.5,0.395,0.391,0.752,106.0,43.0,16.5,7.5,6.5,0.48150000000000004,0.434,0.7729999999999999
0021500035,2015-10-31 00:00:00,22015,1610612740,NOP,1610612744,GSW,L,94.5,36.0,20.0,8.0,2.5,0.40900000000000003,0.333,0.6575,111.5,51.5,27.5,8.5,5.5,0.4445,0.32299999999999995,0.7945
